업체명,모델명,연료,변속형식,차량형식,자동차 종류,표시연비,도심주행연비,고속도로연비,CO2배출량(g/km),1회충전주행거리(km),배기량,등급,출시연도,예상 연간유류비
벤츠,Mercedes-Benz GLB 200 d,경유,자동,내연기관,승용차,14.2,13,16,133,,1950,2등급,2021,1587349
(주) 케이모터,MG ZS EV,전기,없음,전기,승용차,4.3,4.7,4,,207,,3등급,2021,1339221
포르쉐,파나메라 4 E-하이브리드 (5인승),전기+휘발유,자동,PHEV,승용차,8.6,11.1,13.5,56,38,2894,PHEV,2021,2058388
아우디,A6 45 TDI quattro,경유,자동,하이브리드,승용차,12.9,11.5,15.2,148,,2967,3등급,2021,1747314
아우디,A8 50 TDI quattro,경유,자동,하이브리드,승용차,11.4,10,13.7,170,,2967,4등급,2021,1977224
아우디,S7 TDI,경유,자동,하이브리드,승용차,11.5,10.2,13.6,168,,2967,4등급,2021,1960030
아우디,A6 50 TDI quattro,경유,자동,하이브리드,승용차,11.7,10.3,13.8,165,,2967,3등급,2021,1926526
마세라티,마세라티 기블리 트로페오,휘발유,자동,내연기관,승용차,6.5,5.6,8.2,260,,3799,5등급,2021,3800100
아우디,A7 50 TDI quattro,경유,자동,하이브리드,승용차,11.9,10.4,14.3,162,,2967,3등급,2021,1894147
기아,"카니발 2.2디젤 하이리무진 9인승(18""/19""타이어)",경유,자동,내연기관,승용차,11.5,10.2,13.5,169,,2151,4등급,2021,1960030
기아,"카니발 2.2디젤 하이리무진 7인승(19""타이어)",경유,자동,내연기관,승용차,11,9.6,13.4,176,,2151,4등급,2021,2049123
아우디,S6 TDI,경유,자동,하이브리드,승용차,11.5,10.2,13.6,168,,2967,4등급,2021,1960030
벤츠,Mercedes-Benz GLB250 4MATIC (7seater),휘발유,자동,내연기관,승용차,10.5,9.5,12.1,170,,1991,4등급,2021,2352443
벤츠,Mercedes-AMG G63(Standard),휘발유,자동,내연기관,승용차,5.7,5.4,6.3,319,,3982,5등급,2021,4333447
