날짜,평균_에너지소비효율_전체,평균_1회충전주행거리_전체(km),평균_충전지용량_전체(Ah),평균_에너지소비효율_상업용,평균_1회충전주행거리_상업용(km),평균_충전지용량_상업용(Ah),평균_에너지소비효율_비상업용,평균_1회충전주행거리_비상업용(km),평균_충전지용량_비상업용(Ah)
2024-01-28,4.210000000000001,394.15,218.49899999999994,3.0571428571428574,180.85714285714286,171.71428571428572,4.296774193548386,410.2043010752688,222.0204301075268
2024-01-29,4.222330097087379,390.1650485436893,217.7466019417475,3.0571428571428574,180.85714285714286,171.71428571428572,4.286315789473684,408.6421052631579,221.97789473684205
2024-01-30,4.222330097087379,390.1650485436893,217.7466019417475,3.0571428571428574,180.85714285714286,171.71428571428572,4.286315789473684,408.6421052631579,221.97789473684205
2024-01-31,4.222330097087379,390.1650485436893,217.7466019417475,3.0571428571428574,180.85714285714286,171.71428571428572,4.286315789473684,408.6421052631579,221.97789473684205
2024-02-01,4.222330097087379,390.1650485436893,217.7466019417475,3.0571428571428574,180.85714285714286,171.71428571428572,4.286315789473684,408.6421052631579,221.97789473684205
2024-02-02,4.222330097087379,390.1650485436893,217.7466019417475,3.0571428571428574,180.85714285714286,171.71428571428572,4.286315789473684,408.6421052631579,221.97789473684205
2024-02-03,4.222330097087379,390.1650485436893,217.7466019417475,3.0571428571428574,180.85714285714286,171.71428571428572,4.286315789473684,408.6421052631579,221.97789473684205
2024-02-04,4.222330097087379,390.1650485436893,217.7466019417475,3.0571428571428574,180.85714285714286,171.71428571428572,4.286315789473684,408.6421052631579,221.97789473684205
2024-02-05,4.222330097087379,390.1650485436893,217.7466019417475,3.0571428571428574,180.85714285714286,171.71428571428572,4.286315789473684,408.6421052631579,221.97789473684205
2024-02-06,4.222330097087379,390.1650485436893,217.7466019417475,3.0571428571428574,180.85714285714286,171.71428571428572,4.286315789473684,408.6421052631579,221.97789473684205
2024-02-07,4.222330097087379,390.1650485436893,217.7466019417475,3.0571428571428574,180.85714285714286,171.71428571428572,4.286315789473684,408.6421052631579,221.97789473684205
2024-02-08,4.222330097087379,390.1650485436893,217.7466019417475,3.0571428571428574,180.85714285714286,171.71428571428572,4.286315789473684,408.6421052631579,221.97789473684205
2024-02-09,4.222330097087379,390.1650485436893,217.7466019417475,3.0571428571428574,180.85714285714286,171.71428571428572,4.286315789473684,408.6421052631579,221.97789473684205
2024-02-10,4.222330097087379,390.1650485436893,217.7466019417475,3.0571428571428574,180.85714285714286,171.71428571428572,4.286315789473684,408.6421052631579,221.97789473684205
